Name,HEX,R,G,B,Category
1,#8B0000,139,0,0,Red
2,#CD5C5C,205,92,92,Red
3,#FFC0CB,255,192,203,Pink
4,#FFE4C4,255,228,196,Orange
5,#008080,0,128,128,Green
6,#20B2AA,32,178,170,Green
7,#32CD32,50,205,50,Green
8,#BA55D3,186,85,211,Purple
9,#00FF00,0,255,0,Green
10,#F08080,240,128,128,Red
11,#40E0D0,64,224,208,Blue
12,#BC8F8F,188,143,143,Red
13,#87CEFA,135,206,250,Blue
14,#4B0082,75,0,130,Purple
15,#FF00FF,255,0,255,Pink
16,#DC143C,220,20,60,Red
17,#FFF8DC,255,248,220,Yellow
18,#FFFF00,255,255,0,Yellow
19,#9400D3,148,0,211,Purple
20,#808080,128,128,128,Gray
21,#BDB76B,189,183,107,Yellow
22,#CD853F,205,133,63,Orange
23,#00CED1,0,206,209,Blue
24,#8FBC8F,143,188,143,Green
25,#FF6347,255,99,71,Red
26,#EEE8AA,238,232,170,Yellow
27,#6495ED,100,149,237,Blue
28,#FF8C00,255,140,0,Orange
29,#6B8E23,107,142,35,Green
30,#1E90FF,30,144,255,Blue
31,#FFDAB9,255,218,185,Orange
32,#9370DB,147,112,219,Purple
33,#008000,0,128,0,Green
34,#808000,128,128,0,Yellow
35,#FFA07A,255,160,122,Orange
36,#00FA9A,0,250,154,Green
37,#FA8072,250,128,114,Pink
38,#483D8B,72,61,139,Purple
39,#778899,119,136,153,Gray
40,#CD5C5C,205,92,92,Red
41,#228B22,34,139,34,Green
42,#DAA520,218,165,32,Yellow
43,#4169E1,65,105,225,Blue
44,#000080,0,0,128,Blue
45,#D8BFD8,216,191,216,Purple
46,#7CFC00,124,252,0,Green
47,#A9A9A9,169,169,169,Gray
48,#FFA500,255,165,0,Orange
49,#800000,128,0,0,Red
50,#FFDEAD,255,222,173,Orange
